,date,day,month,year,weekday,day_off,season,summer_vacations
0,2010-01-01,1,Enero,2010,4,True,Winter,False
1,2010-01-02,2,Enero,2010,5,False,Winter,False
2,2010-01-03,3,Enero,2010,6,False,Winter,False
3,2010-01-04,4,Enero,2010,0,False,Winter,False
4,2010-01-05,5,Enero,2010,1,False,Winter,False
5,2010-01-06,6,Enero,2010,2,False,Winter,False
6,2010-01-07,7,Enero,2010,3,False,Winter,False
7,2010-01-08,8,Enero,2010,4,False,Winter,False
8,2010-01-09,9,Enero,2010,5,False,Winter,False
9,2010-01-10,10,Enero,2010,6,False,Winter,False
10,2010-01-11,11,Enero,2010,0,False,Winter,False
11,2010-01-12,12,Enero,2010,1,False,Winter,False
12,2010-01-13,13,Enero,2010,2,False,Winter,False
13,2010-01-14,14,Enero,2010,3,False,Winter,False
14,2010-01-15,15,Enero,2010,4,False,Winter,False
15,2010-01-16,16,Enero,2010,5,False,Winter,False
16,2010-01-17,17,Enero,2010,6,False,Winter,False
17,2010-01-18,18,Enero,2010,0,False,Winter,False
18,2010-01-19,19,Enero,2010,1,False,Winter,False
19,2010-01-20,20,Enero,2010,2,False,Winter,False
20,2010-01-21,21,Enero,2010,3,False,Winter,False
21,2010-01-22,22,Enero,2010,4,False,Winter,False
22,2010-01-23,23,Enero,2010,5,False,Winter,False
23,2010-01-24,24,Enero,2010,6,False,Winter,False
24,2010-01-25,25,Enero,2010,0,False,Winter,False
25,2010-01-26,26,Enero,2010,1,False,Winter,False
26,2010-01-27,27,Enero,2010,2,False,Winter,False
27,2010-01-28,28,Enero,2010,3,False,Winter,False
28,2010-01-29,29,Enero,2010,4,False,Winter,False
29,2010-01-30,30,Enero,2010,5,False,Winter,False
30,2010-01-31,31,Enero,2010,6,False,Winter,False
31,2010-02-01,1,Febrero,2010,0,True,Winter,False
32,2010-02-02,2,Febrero,2010,1,False,Winter,False
33,2010-02-03,3,Febrero,2010,2,False,Winter,False
34,2010-02-04,4,Febrero,2010,3,False,Winter,False
35,2010-02-05,5,Febrero,2010,4,False,Winter,False
36,2010-02-06,6,Febrero,2010,5,False,Winter,False
37,2010-02-07,7,Febrero,2010,6,False,Winter,False
38,2010-02-08,8,Febrero,2010,0,False,Winter,False
39,2010-02-09,9,Febrero,2010,1,False,Winter,False
40,2010-02-10,10,Febrero,2010,2,False,Winter,False
41,2010-02-11,11,Febrero,2010,3,False,Winter,False
42,2010-02-12,12,Febrero,2010,4,False,Winter,False
43,2010-02-13,13,Febrero,2010,5,False,Winter,False
44,2010-02-14,14,Febrero,2010,6,False,Winter,False
45,2010-02-15,15,Febrero,2010,0,False,Winter,False
46,2010-02-16,16,Febrero,2010,1,False,Winter,False
47,2010-02-17,17,Febrero,2010,2,False,Winter,False
48,2010-02-18,18,Febrero,2010,3,False,Winter,False
49,2010-02-19,19,Febrero,2010,4,False,Winter,False
50,2010-02-20,20,Febrero,2010,5,False,Winter,False
51,2010-02-21,21,Febrero,2010,6,False,Winter,False
52,2010-02-22,22,Febrero,2010,0,False,Winter,False
53,2010-02-23,23,Febrero,2010,1,False,Winter,False
54,2010-02-24,24,Febrero,2010,2,False,Winter,False
55,2010-02-25,25,Febrero,2010,3,False,Winter,False
56,2010-02-26,26,Febrero,2010,4,False,Winter,False
57,2010-02-27,27,Febrero,2010,5,False,Winter,False
58,2010-02-28,28,Febrero,2010,6,False,Winter,False
59,2010-03-01,1,Marzo,2010,0,False,Spring,False
60,2010-03-02,2,Marzo,2010,1,False,Spring,False
61,2010-03-03,3,Marzo,2010,2,False,Spring,False
62,2010-03-04,4,Marzo,2010,3,False,Spring,False
63,2010-03-05,5,Marzo,2010,4,False,Spring,False
64,2010-03-06,6,Marzo,2010,5,False,Spring,False
65,2010-03-07,7,Marzo,2010,6,False,Spring,False
66,2010-03-08,8,Marzo,2010,0,False,Spring,False
67,2010-03-09,9,Marzo,2010,1,False,Spring,False
68,2010-03-10,10,Marzo,2010,2,False,Spring,False
69,2010-03-11,11,Marzo,2010,3,False,Spring,False
70,2010-03-12,12,Marzo,2010,4,False,Spring,False
71,2010-03-13,13,Marzo,2010,5,False,Spring,False
72,2010-03-14,14,Marzo,2010,6,False,Spring,False
73,2010-03-15,15,Marzo,2010,0,True,Spring,False
74,2010-03-16,16,Marzo,2010,1,False,Spring,False
75,2010-03-17,17,Marzo,2010,2,False,Spring,False
76,2010-03-18,18,Marzo,2010,3,False,Spring,False
77,2010-03-19,19,Marzo,2010,4,False,Spring,False
78,2010-03-20,20,Marzo,2010,5,False,Spring,False
79,2010-03-21,21,Marzo,2010,6,False,Spring,False
80,2010-03-22,22,Marzo,2010,0,False,Spring,False
81,2010-03-23,23,Marzo,2010,1,False,Spring,False
82,2010-03-24,24,Marzo,2010,2,False,Spring,False
83,2010-03-25,25,Marzo,2010,3,False,Spring,False
84,2010-03-26,26,Marzo,2010,4,False,Spring,False
85,2010-03-27,27,Marzo,2010,5,False,Spring,False
86,2010-03-28,28,Marzo,2010,6,False,Spring,False
87,2010-03-29,29,Marzo,2010,0,False,Spring,False
88,2010-03-30,30,Marzo,2010,1,False,Spring,False
89,2010-03-31,31,Marzo,2010,2,False,Spring,False
90,2010-04-01,1,Abril,2010,3,True,Spring,False
91,2010-04-02,2,Abril,2010,4,True,Spring,False
92,2010-04-03,3,Abril,2010,5,False,Spring,False
93,2010-04-04,4,Abril,2010,6,False,Spring,False
94,2010-04-05,5,Abril,2010,0,False,Spring,False
95,2010-04-06,6,Abril,2010,1,False,Spring,False
96,2010-04-07,7,Abril,2010,2,False,Spring,False
97,2010-04-08,8,Abril,2010,3,False,Spring,False
98,2010-04-09,9,Abril,2010,4,False,Spring,False
99,2010-04-10,10,Abril,2010,5,False,Spring,False
100,2010-04-11,11,Abril,2010,6,False,Spring,False
101,2010-04-12,12,Abril,2010,0,False,Spring,False
102,2010-04-13,13,Abril,2010,1,False,Spring,False
103,2010-04-14,14,Abril,2010,2,False,Spring,False
104,2010-04-15,15,Abril,2010,3,False,Spring,False
105,2010-04-16,16,Abril,2010,4,False,Spring,False
106,2010-04-17,17,Abril,2010,5,False,Spring,False
107,2010-04-18,18,Abril,2010,6,False,Spring,False
108,2010-04-19,19,Abril,2010,0,False,Spring,False
109,2010-04-20,20,Abril,2010,1,False,Spring,False
110,2010-04-21,21,Abril,2010,2,False,Spring,False
111,2010-04-22,22,Abril,2010,3,False,Spring,False
112,2010-04-23,23,Abril,2010,4,False,Spring,False
113,2010-04-24,24,Abril,2010,5,False,Spring,False
114,2010-04-25,25,Abril,2010,6,False,Spring,False
115,2010-04-26,26,Abril,2010,0,False,Spring,False
116,2010-04-27,27,Abril,2010,1,False,Spring,False
117,2010-04-28,28,Abril,2010,2,False,Spring,False
118,2010-04-29,29,Abril,2010,3,False,Spring,False
119,2010-04-30,30,Abril,2010,4,False,Spring,False
120,2010-05-01,1,Mayo,2010,5,True,Spring,False
121,2010-05-02,2,Mayo,2010,6,False,Spring,False
122,2010-05-03,3,Mayo,2010,0,False,Spring,False
123,2010-05-04,4,Mayo,2010,1,False,Spring,False
124,2010-05-05,5,Mayo,2010,2,False,Spring,False
125,2010-05-06,6,Mayo,2010,3,False,Spring,False
126,2010-05-07,7,Mayo,2010,4,False,Spring,False
127,2010-05-08,8,Mayo,2010,5,False,Spring,False
128,2010-05-09,9,Mayo,2010,6,False,Spring,False
129,2010-05-10,10,Mayo,2010,0,False,Spring,False
130,2010-05-11,11,Mayo,2010,1,False,Spring,False
131,2010-05-12,12,Mayo,2010,2,False,Spring,False
132,2010-05-13,13,Mayo,2010,3,False,Spring,False
133,2010-05-14,14,Mayo,2010,4,False,Spring,False
134,2010-05-15,15,Mayo,2010,5,False,Spring,False
135,2010-05-16,16,Mayo,2010,6,False,Spring,False
136,2010-05-17,17,Mayo,2010,0,False,Spring,False
137,2010-05-18,18,Mayo,2010,1,False,Spring,False
138,2010-05-19,19,Mayo,2010,2,False,Spring,False
139,2010-05-20,20,Mayo,2010,3,False,Spring,False
140,2010-05-21,21,Mayo,2010,4,False,Spring,False
141,2010-05-22,22,Mayo,2010,5,False,Spring,False
142,2010-05-23,23,Mayo,2010,6,False,Spring,False
143,2010-05-24,24,Mayo,2010,0,False,Spring,False
144,2010-05-25,25,Mayo,2010,1,False,Spring,False
145,2010-05-26,26,Mayo,2010,2,False,Spring,False
146,2010-05-27,27,Mayo,2010,3,False,Spring,False
147,2010-05-28,28,Mayo,2010,4,False,Spring,False
148,2010-05-29,29,Mayo,2010,5,False,Spring,False
149,2010-05-30,30,Mayo,2010,6,False,Spring,False
150,2010-05-31,31,Mayo,2010,0,False,Spring,False
151,2010-06-01,1,Junio,2010,1,False,Summer,False
152,2010-06-02,2,Junio,2010,2,False,Summer,False
153,2010-06-03,3,Junio,2010,3,False,Summer,False
154,2010-06-04,4,Junio,2010,4,False,Summer,False
155,2010-06-05,5,Junio,2010,5,False,Summer,False
156,2010-06-06,6,Junio,2010,6,False,Summer,False
157,2010-06-07,7,Junio,2010,0,False,Summer,False
158,2010-06-08,8,Junio,2010,1,False,Summer,False
159,2010-06-09,9,Junio,2010,2,False,Summer,False
160,2010-06-10,10,Junio,2010,3,False,Summer,False
161,2010-06-11,11,Junio,2010,4,False,Summer,False
162,2010-06-12,12,Junio,2010,5,False,Summer,False
163,2010-06-13,13,Junio,2010,6,False,Summer,False
164,2010-06-14,14,Junio,2010,0,False,Summer,False
165,2010-06-15,15,Junio,2010,1,False,Summer,False
166,2010-06-16,16,Junio,2010,2,False,Summer,False
167,2010-06-17,17,Junio,2010,3,False,Summer,False
168,2010-06-18,18,Junio,2010,4,False,Summer,False
169,2010-06-19,19,Junio,2010,5,False,Summer,False
170,2010-06-20,20,Junio,2010,6,False,Summer,False
171,2010-06-21,21,Junio,2010,0,False,Summer,False
172,2010-06-22,22,Junio,2010,1,False,Summer,False
173,2010-06-23,23,Junio,2010,2,False,Summer,False
174,2010-06-24,24,Junio,2010,3,False,Summer,False
175,2010-06-25,25,Junio,2010,4,False,Summer,False
176,2010-06-26,26,Junio,2010,5,False,Summer,False
177,2010-06-27,27,Junio,2010,6,False,Summer,False
178,2010-06-28,28,Junio,2010,0,False,Summer,False
179,2010-06-29,29,Junio,2010,1,False,Summer,False
180,2010-06-30,30,Junio,2010,2,False,Summer,False
181,2010-07-01,1,Julio,2010,3,False,Summer,False
182,2010-07-02,2,Julio,2010,4,False,Summer,False
183,2010-07-03,3,Julio,2010,5,False,Summer,False
184,2010-07-04,4,Julio,2010,6,False,Summer,False
185,2010-07-05,5,Julio,2010,0,False,Summer,False
186,2010-07-06,6,Julio,2010,1,False,Summer,False
187,2010-07-07,7,Julio,2010,2,False,Summer,False
188,2010-07-08,8,Julio,2010,3,False,Summer,False
189,2010-07-09,9,Julio,2010,4,False,Summer,False
190,2010-07-10,10,Julio,2010,5,False,Summer,False
191,2010-07-11,11,Julio,2010,6,False,Summer,False
192,2010-07-12,12,Julio,2010,0,False,Summer,False
193,2010-07-13,13,Julio,2010,1,False,Summer,False
194,2010-07-14,14,Julio,2010,2,False,Summer,False
195,2010-07-15,15,Julio,2010,3,False,Summer,False
196,2010-07-16,16,Julio,2010,4,False,Summer,False
197,2010-07-17,17,Julio,2010,5,False,Summer,False
198,2010-07-18,18,Julio,2010,6,False,Summer,False
199,2010-07-19,19,Julio,2010,0,False,Summer,False
200,2010-07-20,20,Julio,2010,1,False,Summer,False
201,2010-07-21,21,Julio,2010,2,False,Summer,False
202,2010-07-22,22,Julio,2010,3,False,Summer,False
203,2010-07-23,23,Julio,2010,4,False,Summer,False
204,2010-07-24,24,Julio,2010,5,False,Summer,False
205,2010-07-25,25,Julio,2010,6,False,Summer,False
206,2010-07-26,26,Julio,2010,0,False,Summer,False
207,2010-07-27,27,Julio,2010,1,False,Summer,False
208,2010-07-28,28,Julio,2010,2,False,Summer,False
209,2010-07-29,29,Julio,2010,3,False,Summer,False
210,2010-07-30,30,Julio,2010,4,False,Summer,False
211,2010-07-31,31,Julio,2010,5,False,Summer,False
212,2010-08-01,1,Agosto,2010,6,False,Summer,False
213,2010-08-02,2,Agosto,2010,0,False,Summer,False
214,2010-08-03,3,Agosto,2010,1,False,Summer,False
215,2010-08-04,4,Agosto,2010,2,False,Summer,False
216,2010-08-05,5,Agosto,2010,3,False,Summer,False
217,2010-08-06,6,Agosto,2010,4,False,Summer,False
218,2010-08-07,7,Agosto,2010,5,False,Summer,False
219,2010-08-08,8,Agosto,2010,6,False,Summer,False
220,2010-08-09,9,Agosto,2010,0,False,Summer,False
221,2010-08-10,10,Agosto,2010,1,False,Summer,False
222,2010-08-11,11,Agosto,2010,2,False,Summer,False
223,2010-08-12,12,Agosto,2010,3,False,Summer,False
224,2010-08-13,13,Agosto,2010,4,False,Summer,False
225,2010-08-14,14,Agosto,2010,5,False,Summer,False
226,2010-08-15,15,Agosto,2010,6,False,Summer,False
227,2010-08-16,16,Agosto,2010,0,False,Summer,False
228,2010-08-17,17,Agosto,2010,1,False,Summer,False
229,2010-08-18,18,Agosto,2010,2,False,Summer,False
230,2010-08-19,19,Agosto,2010,3,False,Summer,False
231,2010-08-20,20,Agosto,2010,4,False,Summer,False
232,2010-08-21,21,Agosto,2010,5,False,Summer,False
233,2010-08-22,22,Agosto,2010,6,False,Summer,False
234,2010-08-23,23,Agosto,2010,0,False,Summer,False
235,2010-08-24,24,Agosto,2010,1,False,Summer,False
236,2010-08-25,25,Agosto,2010,2,False,Summer,False
237,2010-08-26,26,Agosto,2010,3,False,Summer,False
238,2010-08-27,27,Agosto,2010,4,False,Summer,False
239,2010-08-28,28,Agosto,2010,5,False,Summer,False
240,2010-08-29,29,Agosto,2010,6,False,Summer,False
241,2010-08-30,30,Agosto,2010,0,False,Summer,False
242,2010-08-31,31,Agosto,2010,1,False,Summer,False
243,2010-09-01,1,Septiembre,2010,2,False,Autumn,False
244,2010-09-02,2,Septiembre,2010,3,False,Autumn,False
245,2010-09-03,3,Septiembre,2010,4,False,Autumn,False
246,2010-09-04,4,Septiembre,2010,5,False,Autumn,False
247,2010-09-05,5,Septiembre,2010,6,False,Autumn,False
248,2010-09-06,6,Septiembre,2010,0,False,Autumn,False
249,2010-09-07,7,Septiembre,2010,1,False,Autumn,False
250,2010-09-08,8,Septiembre,2010,2,False,Autumn,False
251,2010-09-09,9,Septiembre,2010,3,False,Autumn,False
252,2010-09-10,10,Septiembre,2010,4,False,Autumn,False
253,2010-09-11,11,Septiembre,2010,5,False,Autumn,False
254,2010-09-12,12,Septiembre,2010,6,False,Autumn,False
255,2010-09-13,13,Septiembre,2010,0,False,Autumn,False
256,2010-09-14,14,Septiembre,2010,1,False,Autumn,False
257,2010-09-15,15,Septiembre,2010,2,False,Autumn,False
258,2010-09-16,16,Septiembre,2010,3,True,Autumn,False
259,2010-09-17,17,Septiembre,2010,4,False,Autumn,False
260,2010-09-18,18,Septiembre,2010,5,False,Autumn,False
261,2010-09-19,19,Septiembre,2010,6,False,Autumn,False
262,2010-09-20,20,Septiembre,2010,0,False,Autumn,False
263,2010-09-21,21,Septiembre,2010,1,False,Autumn,False
264,2010-09-22,22,Septiembre,2010,2,False,Autumn,False
265,2010-09-23,23,Septiembre,2010,3,False,Autumn,False
266,2010-09-24,24,Septiembre,2010,4,False,Autumn,False
267,2010-09-25,25,Septiembre,2010,5,False,Autumn,False
268,2010-09-26,26,Septiembre,2010,6,False,Autumn,False
269,2010-09-27,27,Septiembre,2010,0,False,Autumn,False
270,2010-09-28,28,Septiembre,2010,1,False,Autumn,False
271,2010-09-29,29,Septiembre,2010,2,False,Autumn,False
272,2010-09-30,30,Septiembre,2010,3,False,Autumn,False
273,2010-10-01,1,Octubre,2010,4,False,Autumn,False
274,2010-10-02,2,Octubre,2010,5,False,Autumn,False
275,2010-10-03,3,Octubre,2010,6,False,Autumn,False
276,2010-10-04,4,Octubre,2010,0,False,Autumn,False
277,2010-10-05,5,Octubre,2010,1,False,Autumn,False
278,2010-10-06,6,Octubre,2010,2,False,Autumn,False
279,2010-10-07,7,Octubre,2010,3,False,Autumn,False
280,2010-10-08,8,Octubre,2010,4,False,Autumn,False
281,2010-10-09,9,Octubre,2010,5,False,Autumn,False
282,2010-10-10,10,Octubre,2010,6,False,Autumn,False
283,2010-10-11,11,Octubre,2010,0,False,Autumn,False
284,2010-10-12,12,Octubre,2010,1,True,Autumn,False
285,2010-10-13,13,Octubre,2010,2,False,Autumn,False
286,2010-10-14,14,Octubre,2010,3,False,Autumn,False
287,2010-10-15,15,Octubre,2010,4,False,Autumn,False
288,2010-10-16,16,Octubre,2010,5,False,Autumn,False
289,2010-10-17,17,Octubre,2010,6,False,Autumn,False
290,2010-10-18,18,Octubre,2010,0,False,Autumn,False
291,2010-10-19,19,Octubre,2010,1,False,Autumn,False
292,2010-10-20,20,Octubre,2010,2,False,Autumn,False
293,2010-10-21,21,Octubre,2010,3,False,Autumn,False
294,2010-10-22,22,Octubre,2010,4,False,Autumn,False
295,2010-10-23,23,Octubre,2010,5,False,Autumn,False
296,2010-10-24,24,Octubre,2010,6,False,Autumn,False
297,2010-10-25,25,Octubre,2010,0,False,Autumn,False
298,2010-10-26,26,Octubre,2010,1,False,Autumn,False
299,2010-10-27,27,Octubre,2010,2,False,Autumn,False
300,2010-10-28,28,Octubre,2010,3,False,Autumn,False
301,2010-10-29,29,Octubre,2010,4,False,Autumn,False
302,2010-10-30,30,Octubre,2010,5,False,Autumn,False
303,2010-10-31,31,Octubre,2010,6,False,Autumn,False
304,2010-11-01,1,Noviembre,2010,0,False,Autumn,False
305,2010-11-02,2,Noviembre,2010,1,True,Autumn,False
306,2010-11-03,3,Noviembre,2010,2,False,Autumn,False
307,2010-11-04,4,Noviembre,2010,3,False,Autumn,False
308,2010-11-05,5,Noviembre,2010,4,False,Autumn,False
309,2010-11-06,6,Noviembre,2010,5,False,Autumn,False
310,2010-11-07,7,Noviembre,2010,6,False,Autumn,False
311,2010-11-08,8,Noviembre,2010,0,False,Autumn,False
312,2010-11-09,9,Noviembre,2010,1,False,Autumn,False
313,2010-11-10,10,Noviembre,2010,2,False,Autumn,False
314,2010-11-11,11,Noviembre,2010,3,False,Autumn,False
315,2010-11-12,12,Noviembre,2010,4,False,Autumn,False
316,2010-11-13,13,Noviembre,2010,5,False,Autumn,False
317,2010-11-14,14,Noviembre,2010,6,False,Autumn,False
318,2010-11-15,15,Noviembre,2010,0,False,Autumn,False
319,2010-11-16,16,Noviembre,2010,1,False,Autumn,False
320,2010-11-17,17,Noviembre,2010,2,False,Autumn,False
321,2010-11-18,18,Noviembre,2010,3,False,Autumn,False
322,2010-11-19,19,Noviembre,2010,4,False,Autumn,False
323,2010-11-20,20,Noviembre,2010,5,True,Autumn,False
