,station,district,ints,Lat,Long
0,Zaragoza,Venustiano Carranza,1,19.4130896,-99.08234751
1,Isabel la Católica,Cuauhtémoc,1,19.4272577,-99.13794795
2,Moctezuma,Venustiano Carranza,1,19.42701693,-99.10974636
3,Pino Suárez,Cuauhtémoc,2,19.42461778,-99.13296013
4,Gómez Farías,Venustiano Carranza,1,19.41667224,-99.09022073
5,Deportivo 18 de Marzo,Gustavo A. Madero,2,19.48366308,-99.12578088
6,La Villa/Basílica,Gustavo A. Madero,1,19.48208507,-99.11833507
7,Pantitlán,Iztacalco,4,19.41517202,-99.07421146
8,Aculco,Iztapalapa,1,19.37396941,-99.10782163
9,Velódromo,Iztacalco,1,19.40864227,-99.10309116
10,Autobuses del Norte,Gustavo A. Madero,1,19.47903934,-99.14062067
11,Misterios,Cuauhtémoc,1,19.46339241,-99.13041046
12,Constituyentes,Miguel Hidalgo,1,19.41192368,-99.19129727
13,Refinería,Azcapotzalco,1,19.47290454,-99.18932402
14,Etiopía/Plaza de la Transparencia,Benito Juárez,1,19.39609649,-99.15603484
15,Polanco,Miguel Hidalgo,1,19.4339447,-99.1913441
16,Canal del Norte,Cuauhtémoc,1,19.44902601,-99.11589573
17,Bondojito,Gustavo A. Madero,1,19.46487271,-99.11199075
18,Santa Anita,Iztacalco,2,19.40433349,-99.12065927
19,Popotla,Miguel Hidalgo,1,19.45317301,-99.17550073
20,General Anaya,Benito Juárez,1,19.35332517,-99.14497036
21,División del Norte,Benito Juárez,1,19.3793824,-99.15955511
22,Zapata,Benito Juárez,2,19.37103395,-99.16520901
23,Fray Servando,Venustiano Carranza,1,19.42181389,-99.12051919
24,Hangares,Venustiano Carranza,1,19.42461538,-99.08834022
25,El Rosario,Azcapotzalco,2,19.50481693,-99.20003315
26,Ferrería/Arena Ciudad de México,Azcapotzalco,1,19.4909026,-99.17411782
27,Instituto del Petróleo,Gustavo A. Madero,2,19.49156982,-99.14818627
28,Coyuya,Iztacalco,1,19.39812925,-99.11345508
29,Apatlaco,Iztacalco,1,19.37981869,-99.10931557
30,La Viga,Iztacalco,1,19.40686862,-99.12624199
31,Chabacano,Cuauhtémoc,3,19.40888733,-99.13557653
32,San Juan de Letrán,Cuauhtémoc,1,19.43174187,-99.14120709
33,Barranca del Muerto,Álvaro Obregón,1,19.36166523,-99.18924473
34,Garibaldi/Lagunilla,Cuauhtémoc,2,19.44398952,-99.13868965
35,Buenavista,Cuauhtémoc,1,19.4465343,-99.15281142
36,Guerrero,Cuauhtémoc,2,19.44507549,-99.14572477
37,Oceanía,Venustiano Carranza,2,19.44515743,-99.08679921
38,Nezahualcóyotl,Venustiano Carranza,1,19.47278574,-99.05480351
39,Revolución,Benito Juárez,1,19.43940783,-99.15427752
40,Indios Verdes,Gustavo A. Madero,1,19.49509909,-99.11962367
41,Hidalgo,Cuauhtémoc,2,19.43754669,-99.14716154
42,Colegio Militar,Miguel Hidalgo,1,19.45018053,-99.17162174
43,Normal,Cuauhtémoc,1,19.44488224,-99.16735883
44,San Cosme,Cuauhtémoc,1,19.44211444,-99.16075492
45,Juárez,Cuauhtémoc,1,19.43345233,-99.1476049
46,Olímpica,Benito Juárez,1,19.52146795,-99.03326063
47,Ciudad Azteca,Ecatepec,1,19.53501602,-99.02770373
48,Tlaltenco,Tláhuac,1,19.29749662,-99.02145465
49,Insurgentes Sur,Benito Juárez,1,19.37374213,-99.17872959
50,Culhuacán,Iztapalapa,1,19.33705823,-99.10896136
51,Calle 11,Iztapalapa,1,19.3207036,-99.08589673
52,Chilpancingo,Benito Juárez,1,19.40608043,-99.16856529
53,Peñón Viejo,Tláhuac,1,19.37348027,-99.01705707
54,Canal de San Juan,Iztacalco,1,19.39894109,-99.05938091
55,Lomas Estrella,Iztapalapa,1,19.32236622,-99.09584173
56,San Andrés Tomatlán,Iztapalapa,1,19.32833051,-99.10444555
57,Ermita,Iztapalapa,2,19.36133552,-99.14309523
58,Xola,Benito Juárez,1,19.3952847,-99.13781813
59,Salto del Agua,Cuauhtémoc,2,19.42734927,-99.14209536
60,Balderas,Cuauhtémoc,2,19.42697186,-99.14926215
61,Portales,Benito Juárez,1,19.37109224,-99.14152075
62,Eduardo Molina,Gustavo A. Madero,1,19.45158805,-99.10544122
63,Candelaria,Venustiano Carranza,2,19.42971199,-99.1208349
64,Aragón,Gustavo A. Madero,1,19.46321761,-99.06151538
65,Tacubaya,Miguel Hidalgo,3,19.40205585,-99.18732515
66,San Pedro de los Pinos,Álvaro Obregón,1,19.39156671,-99.18579989
67,Camarones,Azcapotzalco,1,19.47928386,-99.18979172
68,Doctores,Cuauhtémoc,1,19.42171829,-99.14325845
69,San Antonio,Tláhuac,1,19.38611229,-99.18699052
70,Mixcoac,Álvaro Obregón,2,19.37630913,-99.18783511
71,Tacuba,Miguel Hidalgo,2,19.45941271,-99.1875565
72,Martín Carrera,Gustavo A. Madero,2,19.48856978,-99.10378661
73,Auditorio,Miguel Hidalgo,1,19.42541701,-99.19179008
74,Aquiles Serdán,Azcapotzalco,1,19.49081122,-99.19527967
75,San Joaquín,Miguel Hidalgo,1,19.4452106,-99.19170909
76,Morelos,Venustiano Carranza,2,19.43987244,-99.11819292
77,San Antonio Abad,Cuauhtémoc,1,19.41604841,-99.13467821
78,Viaducto,Benito Juárez,1,19.40102178,-99.13684636
79,Norte 45,Gustavo A. Madero,1,19.48892017,-99.16307715
80,Vallejo,Gustavo A. Madero,1,19.49005226,-99.15601073
81,Tezozómoc,Azcapotzalco,1,19.49518955,-99.19615495
82,UAM-Azcapotzalco,Azcapotzalco,1,19.49104729,-99.1862686
83,Bellas Artes,Cuauhtémoc,2,19.43658233,-99.14161
84,Cuitláhuac,Azcapotzalco,1,19.45856254,-99.18174583
85,Terminal Aérea,Venustiano Carranza,1,19.43420101,-99.08801228
86,Eugenia,Benito Juárez,1,19.38638251,-99.1571249
87,Observatorio,Miguel Hidalgo,1,19.39993964,-99.20091498
88,Cuatro Caminos,Miguel Hidalgo,1,19.46116048,-99.2158172
89,Panteones,Azcapotzalco,1,19.45885242,-99.20296073
90,Copilco,Coyoacán,1,19.33643867,-99.17710602
91,Centro Médico,Cuauhtémoc,2,19.40682761,-99.15481543
92,Universidad,Coyoacán,1,19.32707781,-99.17339802
93,Lindavista,Gustavo A. Madero,1,19.48831227,-99.13504855
94,Coyoacán,Coyoacán,1,19.36156242,-99.1707849
95,Jamaica,Venustiano Carranza,2,19.41112432,-99.1215219
96,La Raza,Gustavo A. Madero,2,19.4698487,-99.1365206
97,Viveros/Derechos Humanos,Coyoacán,1,19.35426668,-99.17536409
98,Miguel Ángel de Quevedo,Coyoacán,1,19.34644352,-99.18047713
99,Chapultepec,Miguel Hidalgo,1,19.4206528,-99.17692436
100,Obrera,Cuauhtémoc,1,19.41312279,-99.1439295
101,Allende,Cuauhtémoc,1,19.43591562,-99.13685366
102,Zócalo/Tenochtitlan,Cuauhtémoc,1,19.43260264,-99.13222347
103,Nativitas,Benito Juárez,1,19.37970868,-99.14023145
104,Boulevard Puerto Aéreo,Venustiano Carranza,1,19.42134193,-99.09559697
105,Sevilla,Benito Juárez,1,19.42172763,-99.17092969
106,Villa de Cortés,Benito Juárez,1,19.38760429,-99.13876731
107,Consulado,Venustiano Carranza,2,19.45815121,-99.11390763
108,Talismán,Gustavo A. Madero,1,19.47414769,-99.10792179
109,Valle Gómez,Venustiano Carranza,1,19.45910407,-99.11947723
110,Politécnico,Gustavo A. Madero,1,19.50080394,-99.14922687
